ORG4CODE,ORG8CODE,DISTRICT_N,DISTRICT_T,MEMBERLIST,TUITION,TUITION_GR,TUITION_TO,SUPERINTEN,START_GRAD,END_GRADE,SHAPE_AREA,SHAPE_LEN
0079,00790000,Dracut,MuniK12,,N,,,,PK,12,55522005.0544,38335.1733907
0005,00050000,Agawam,MuniK12,,N,,,,PK,12,63021907.2593,38060.7130344
0175,01750000,Medfield,MuniK12,,N,,,,PK,12,37955730.4077,33821.8547329
0348,03480000,Worcester,MuniK12,,N,,,,PK,12,99562707.1318,42619.2767682
0315,03150000,Wayland,MuniK12,,N,,,,PK,12,41063123.7161,35891.3483758
0317,03170000,Wellesley,MuniK12,,N,,,,PK,12,27269576.387,26738.5943686
0155,01550000,Lexington,MuniK12,,N,,,,PK,12,43093413.6387,26948.2278418
0277,02770000,Southbridge,MuniK12,,N,,,,PK,12,54026424.1604,35822.368583
0215,02150000,North Brookfield,MuniK12,,N,,,,K,12,56843153.5725,31053.5746717
0314,03140000,Watertown,MuniK12,,N,,,,PK,12,10681446.6125,16955.2703107
0088,00880000,Easton,MuniK12,,N,,,,PK,12,75713803.5994,36062.1079448
0198,01980000,Natick,MuniK12,,N,,,,PK,12,41337981.602,30557.5678704
0044,00440000,Brockton,MuniK12,,N,,,,PK,12,55724091.4611,32616.9354866
0326,03260000,Westford,MuniK12,,N,,,,PK,12,81226634.0748,37313.4958908
0265,02650000,Seekonk,MuniK12,,N,,,,PK,12,48289466.8643,36129.4140612
0227,02270000,Palmer,MuniK12,,N,,,,PK,12,82871148.4946,51120.9603267
0099,00990000,Foxborough,MuniK12,,N,,,,PK,12,53987529.5935,31841.3102949
0220,02200000,Norwood,MuniK12,,N,,,,PK,12,27193616.7915,22840.5639318
0161,01610000,Ludlow,MuniK12,,N,,,,PK,12,73389122.1042,36988.1215797
0111,01110000,Granby,MuniK12,,N,,,,PK,12,72707908.653,34178.7458029
0150,01500000,Lee,MuniK12,,N,,,,PK,12,69963490.5459,41725.4506771
0105,01050000,Georgetown,MuniK12,,N,,,,PK,12,34054312.3303,24443.0413649
