ORG4CODE,ORG8CODE,DISTRICT_N,DISTRICT_T,MEMBERLIST,TUITION,TUITION_GR,TUITION_TO,SUPERINTEN,START_GRAD,END_GRADE,SHAPE_AREA,SHAPE_LEN
0622,06220000,Blackstone-Millville,ReglK12,"Blackstone, Millville",N,,,,PK,12,42340495.2409,26508.3693776
0625,06250000,Bridgewater-Raynham,ReglK12,"Bridgewater, Raynham",N,,,,PK,12,127226428.431,63249.3985107
0766,07660000,Southwick-Tolland-Granville,ReglK12,"Granville, Southwick, Tolland",N,,,,PK,12,278618173.007,89054.1200496
0767,07670000,Spencer-E Brookfield,ReglK12,"East Brookfield, Spencer",N,,,,PK,12,115068968.574,52314.2360689
0770,07700000,Tantasqua,ReglHS,"Brimfield, Brookfield, Holland, Sturbridge, Wales",N,,,Union 61,07,12,310529819.623,91555.6547641
0773,07730000,Triton,ReglK12,"Newbury, Rowley, Salisbury",N,,,,PK,12,154987627.415,108556.440514
0774,07740000,Up-Island,ReglElem,"Aquinnah, Chilmark, West Tisbury",N,,,Union 19,PK,08,135522607.412,86906.8872911
0775,07750000,Wachusett,ReglK12,"Holden, Paxton, Princeton, Rutland, Sterling",N,,,,PK,12,402839609.62,95070.068385
0778,07780000,Quaboag,ReglK12,"Warren, West Brookfield",N,,,,PK,12,126238344.445,55465.9659609
0780,07800000,Whitman-Hanson,ReglK12,"Hanson, Whitman",N,,,,PK,12,58770382.4091,42222.7625403
0109,01090000,Gosnold,MuniElem,,Y,K-12 (Naushon Islands); 9-12 (Cuttyhunk),Falmouth,,PK,06,34819136.6359,100167.445417
0003,00030000,Acushnet,MuniElem,,Y,9-12,"Fairhaven, New Bedford",,PK,08,48896419.7952,31099.5716322
0008,00080000,Amherst,MuniElem,,N,,,Union 26,PK,06,71882639.8809,40766.3448475
0043,00430000,Brimfield,MuniElem,,N,,,Union 61,PK,06,91471330.3626,42506.12067
0190,01900000,Monroe,TuitionK12,,Y,PK-12,Florida (Gr PK-8); North Adams (Gr 9-12),Union 43,,,27940186.5533,23556.475457
0195,01950000,Mount Washington,TuitionK12,,Y,PK-12,Southern Berkshire,,,,57988843.7886,31618.4343094
0196,01960000,Nahant,MuniElem,,Y,7-12,Swampscott,,PK,06,3249309.4675,20844.5392693
0200,02000000,New Ashford,TuitionK12,,Y,PK-12,Mount Greylock,Union 70,,,34900171.8461,27059.6859147
0242,02420000,Provincetown,MuniElem,,Y,9-12,Nauset,,PK,08,27045667.9871,59850.9429621
0038,00380000,Boxford,MuniElem,,N,,,Union 58,PK,06,63216180.2928,44884.8836686
0300,03000000,Truro,MuniElem,,Y,6-12,Nauset,,PK,05,56987747.7139,52277.711251
0302,03020000,Tyringham,TuitionK12,,Y,PK-12,Lee,,,,48838968.8198,29485.9906065
0164,01640000,Lynnfield,MuniK12,,N,,,,PK,12,27046601.4241,27790.2519998
